#Id,DestinationId,RatesTag,RoundingMethod,RoundingDecimals,MaxCost,MaxCostStrategy
DR_FREE,DST_NOI_MANG,RT_FREE,*up,4,0.12,

DR_NOI_MANG_BAC_1,DST_NOI_MANG,RT_NOI_MANG_BAC_1,*up,2,0,
DR_NOI_MANG_BAC_2,DST_NOI_MANG,RT_NOI_MANG_BAC_2,*up,2,0,
DR_NOI_MANG_BAC_3,DST_NOI_MANG,RT_NOI_MANG_BAC_3,*up,2,0,
DR_NOI_MANG_BAC_4,DST_NOI_MANG,RT_NOI_MANG_BAC_4,*up,2,0,

DR_NGOAI_MANG_BAC_1,DST_NGOAI_MANG,RT_NGOAI_MANG_BAC_1,*up,2,0,
DR_NGOAI_MANG_BAC_2,DST_NGOAI_MANG,RT_NGOAI_MANG_BAC_2,*up,2,0,
DR_NGOAI_MANG_BAC_3,DST_NGOAI_MANG,RT_NGOAI_MANG_BAC_3,*up,2,0,
DR_NGOAI_MANG_BAC_4,DST_NGOAI_MANG,RT_NGOAI_MANG_BAC_4,*up,2,0,
